No.,Equipment Name,Serial No,SITE,Rated Power (MVA),HV Rate (kV),LV Rate (kV),Rated Voltage (kV),Service Type,Service Age (Year),Condition Health Index,Health Index Status,Estimated DP (From Furan),Estimated Remaining Life time (Year),Visual Inspection,Active Part,Insulation Resistance & PI,Insulation Power Factor,Exciting Current,Ratio&Polarity,Winding Resistance,1∅ Short Circuit Impedance,3∅ Short Circuit Impedance,Core to Ground,Bushing,Surge Arrester,Dynamic Resistance Measurement (OLTC),Frequency Response Analysis (FRA),%Moisture in paper (FDS),Main Tank Oil,DGA,Water Content,Dielectric Breakdown,PF at 25 °C,PF at 100 °C,Conductivity,Interfratial Tension (IFT),Acidity,Color,Inhibitor,Corrosive Sulfur,Passivator,Furan,Sludge,OLTC Oil,DGA (OLTC),Dielectric Breakdown (OLTC),Water Content (OLTC),Date To Assess,FAT,2011,2012,2013,Last PM,Next PM,Recommendation
35,61HDE10GT001.35.EN,N09057,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT002.35.EN,N09058,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT003.35.EN,N09059,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT004.35.EN,N09060,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT005.35.EN,N09061,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT006.35.EN,N09062,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT007.35.EN,N09063,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT008.35.EN,N09064,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT009.35.EN,N09065,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
35,61HDE10GT010.35.EN,N09066,GHECO-ONE,0.136,0.4,0.11,0.4/0.11,Auxiliary,-,96,Healthy,950,25,A,A,A,A,A,A,A,,,,A,A,,,,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,-,Routine Inspection & Maintenance.
