SN&Ph.,Serial_No,Parent_Serial_No,Status,Phase,Manufacturer,Manufacturer_Year,Model,Type,kV,mA,Watts,Capacitance,PF,PF_20,Corr_Fact,G_Ohm,layer,mA2,Watts2,File_Upload
EDP011601H1,75005595,EDP011601,Energized,H1,ABB,1997,-,EXLIMQ108-AH123,108,0.14,91.39,-,-,-,-,-,1,-,-,-
EDP011601H2,75005596,EDP011601,Energized,H2,ABB,1997,-,EXLIMQ108-AH123,108,0.14,87.02,-,-,-,-,-,1,-,-,-
EDP011601H3,75005597,EDP011601,Energized,H3,ABB,1997,-,EXLIMQ108-AH123,108,0.14,73.9,-,-,-,-,-,1,-,-,-
EDP011601X1,75005598,EDP011601,Energized,X1,ABB,1997,-,EXLIM R024-AV024M,24,0.06,11.99,-,-,-,-,-,1,-,-,-
EDP011601H0,75005601,EDP011601,Energized,H0,ABB,1997,-,EXLIMQ R024-AV02,108,0.12,63.03,-,-,-,-,-,1,-,-,-
667001H1,75010317,667001,Energized,H1,ABB,1998,EXLIM Q228 AH245,-,228,0.05,64.51,60.2,-,3.32,10,407,2,0.2,66.02,-
667001H2,75010318,667001,Energized,H2,ABB,1998,EXLIM Q228 AH245,-,228,0.08,51.42,50.5,-,4.254,10,312,2,0.17,71.5,-
667001H3,75010319,667001,Energized,H3,ABB,1998,EXLIM Q228 AH245,-,228,0.09,52.05,50.2,-,4.07,10,272,2,0.17,68.21,-
508038H1,75146026,508038,Energized,H1,ABB,2008,PEXLIMQ096-XH123,-,96,0.07,62,47.65,4.189,4.189,10,211,1,-,-,-
508038_UATH1,75146026_UAT,508038_UAT,Energized,H1,ABB,2008,PEXLIMQ096-XH123,-,96,0.148,62,47.65,4.189,4.189,10,211,1,-,-,1531899439-TR1.02.EN-03.jpg
508038H2,75146027,508038,Energized,H2,ABB,2008,PEXLIMQ096-XH123,OIP,96,0.07,66,48.58,4.371,4.371,10,196.3,1,-,-,-
508038_UATH2,75146027_UAT,508038_UAT,Energized,H2,ABB,2008,PEXLIMQ096-XH123,-,96,0.151,66,48.58,4.371,4.371,10,196.3,1,-,-,-
508038H3,75146028,508038,Energized,H3,ABB,2008,PEXLIMQ096-XH123,OIP,96,0.07,63,48.29,4.2,4.2,10,199.9,1,-,-,-
