Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
VN13700702_1,GHECO-ONE,-,1000,10.5,0.42,2013-05-23,11026,420,45.560,10500,420,43.301,9974,420,41.132,,,,,,,,,,4.323,5.577,5.548,5.642,7.021,6.918,5.106,6.634,6.492,,,1226,982,228,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.85,,,,,24,75,NaN,NaN,NaN,1987.5048,1909.6809,1907.2863,NaN,NaN,NaN,0.7483,0.7052,0.7339,,,,,,,,
VN13700702_2,GHECO-ONE,-,1000,10.5,0.42,2019-01-20,11026,420,45.560,10500,420,43.301,9974,420,41.132,,,,,,,,,,4.369,6.984,6.895,5.564,7.560,7.205,6.811,8.566,8.103,,,1230,990,240,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.82,,,,,22,75,NaN,NaN,NaN,1877.5127,1875.0994,1878.7193,NaN,NaN,NaN,0.6383,0.6214,0.6166,NaN,NaN,NaN,,,,,
VN85030801-2,SITE3,,2500,6900,437,2016-10-16,,,,28.017,28.017,28.014,,,,,,,,,,,,,,,,20.52,16.41,20.49,,,,,,,,,,,,,,,,,,3.325,3.304,3.252,,,,23,23,,,,145.6,145.7,145.6,,,,167,176,177,,,,,,,,
VN85030801_1,SITE3,-,2500,6.9,0.437,2015-01-29,7245,437,28.716,6900,437,27.438,6555,437,25.981,,,,,,,,,,20.095,15.284,19.636,21.651,16.384,21.148,23.541,17.877,22.846,,,2781.7,2409.1,372.6,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.08,,,,,40,75,166.6452,166.6452,166.4197,158.1889,158.1889,158.0761,150.0709,149.8454,149.9581,0.1917,0.1973,0.1984,,,,,,,,
VN85030801_2,SITE3,-,2500,6.9,0.437,2015-01-19,7245,437,28.715,6900,437,27.347,6555,437,25.980,,,,,,,,,,20.577,14.851,17.974,22.244,16.187,19.647,23.755,17.553,21.939,,,2746.0,2379.1,366.9,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,8.17,,,,,28,75,175.9139,176.3855,176.3855,167.1890,167.6606,167.5427,158.5819,158.9356,158.9356,0.2169,0.2205,0.2205,,,,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
VN85040201_1,GHECO-ONE,-,2500,10.5,0.42,2013-05-21,11026,420,45.560,10500,420,43.301,9974,420,41.132,,,,,,,,,,10.461,13.275,13.107,11.281,14.322,14.162,12.209,15.502,15.355,,,1561,1253,308,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,9.48,,,,,26,75,434.8445,432.5871,434.0129,412.2706,410.3697,411.4390,390.1720,388.6274,389.4591,0.2020,0.1960,0.1925,,,,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
VN85040201_2,GHECO-ONE,-,2500,10.5,0.42,2015-01-04,11026,420,45.560,10500,420,43.301,9974,420,41.132,,,,,,,,,,9.590,13.200,12.180,11.340,14.490,14.890,11.460,15.960,14.360,,,1536,1248,288,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,9.52,,,,,25,75,NaN,NaN,NaN,408.4923,408.6116,409.3272,NaN,NaN,NaN,0.2206,0.2242,0.2254,NaN,NaN,NaN,,,,,
VN85040201_3,GHECO-ONE,-,2500,10.5,0.42,2017-01-15,11026,420,45.560,10500,420,43.301,9974,420,41.132,-,-,-,-,-,-,-,-,-,8.753,11.069,12.732,9.562,12.056,13.859,10.434,13.134,15.183,,,1541,1249,291,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,9.55,,,,,25,75,NaN,NaN,NaN,422.9237,420.0613,423.0430,NaN,NaN,NaN,0.2159,0.2063,0.2051,NaN,NaN,NaN,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
VN85040201_4,GHECO-ONE,-,2500,10.5,0.42,2013-05-20,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,7.91,9.71,11.21,9.42,12.41,12.11,9.96,11.66,13.930,,,1538,1253,285,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,9.51,,,,,26,75,NaN,NaN,NaN,407.6370,408.2311,407.0430,NaN,NaN,NaN,0.2317,0.2287,0.2287,NaN,NaN,NaN,,,,,
VN85040202_1,GHECO-ONE,-,1500,10.5,0.42,2013-05-27,11026,0.42,45.470,10500,0.42,43.302,9974,0.42,41.132,,,,,,,,,,6.056,7.936,9.040,6.611,8.650,9.9,7.160,9.382,10.751,,,1673.9,1398.4,275.5,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,5.99,-,-,-,-,26,75,1050.2802,1049.8050,1047.9040,995.5088,996.4593,995.6276,943.7077,942.0443,942.1631,0.2887,0.2887,0.2792,NaN,NaN,NaN,,,,,
VN85040202_2,GHECO-ONE,-,1500,10.5,0.42,2013-05-26,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,4.926,6.173,6.826,7.756,9.236,9.335,7.213,9.968,9.012,,,1630,1373,257,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.99,,,,,26,75,1027.4687,1028.0628,1028.5380,975.5488,977.0933,976.6180,911.0349,924.2228,923.7476,0.2875,0.2792,0.2733,,,,,,,,
VN85040204_1,GHECO-ONE,-,2500,10.5,0.42,2013-05-21,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,11.121,12.850,13.686,13.132,17.948,17.142,13.492,15.2,16.437,,,1636,1322,314,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,10.48,,,,,26,75,465.0223,465.4975,465.0223,440.9038,441.2603,440.9038,417.2607,417.9735,417.4983,0.2162,0.2139,0.2127,NaN,NaN,NaN,,,,,
VN85040204_2,GHECO-ONE,-,2500,10.5,0.42,2013-05-20,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,7.910,9.69,11.130,9.850,12.355,12.450,9.420,11.440,13.170,,,1666,1310,356,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,10.52,,,,,26,75,465.2599,463.0025,463.3589,441.2603,439.2405,439.5969,417.7359,415.8349,416.0726,0.2246,0.2234,0.2198,NaN,NaN,NaN,,,,,
VN85042301_1,GHECO-ONE,-,3500,10.5,0.42,2013-05-27,45.47,45.470,45.470,43.402,43.302,43.402,41.132,41.132,41.132,,,,,,,,,,13.537,18.148,18.241,15.637,19.589,20.010,16.829,21.371,21.774,,,2070,1734,336,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.85,,,,,26,75,243.3228,242.6100,247.3624,229.4221,228.3528,229.0656,217.1846,216.3530,216.5906,0.1295,0.1271,0.1283,NaN,NaN,NaN,,,,,
VN85042301_2,GHECO-ONE,-,3500,10.5,0.42,,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,13.262,17.680,17.930,14.225,18.637,18.470,18.867,19.323,19.892,,,2065,1729,336,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.81,,,,,26,75,235.9566,236.3131,235.9566,221.9370,221.9370,221.6994,207.4422,206.9670,207.6798,0.1307,0.1307,0.1307,NaN,NaN,NaN,,,,,
VN85042302_1,GHECO-ONE,-,1500,10.5,0.42,2013-06-07,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,5.725,"8,291",8.404,7.428,10.055,10.113,6.812,9.868,9.957,,,1576,1309,267,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.9,,,,,26,75,1034.0033,1034.0033,1033.8845,985.0536,986.3605,985.4100,927.6683,927.4307,927.7871,0.2899,0.2756,0.2756,NaN,NaN,NaN,,,,,
VN85042302_2,GHECO-ONE,-,1500,10.5,0.42,2013-06-07,11026,420,45.562,10500,420,43.388,9974,420,41.215,,,,,,,,,,5.751,8.809,8.194,6.479,9.894,8.893,6.913,10.563,9.758,,,1577,1312,265,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.96,,,,,26,75,1047.4288,1047.2149,1048.2605,988.2614,988.0238,988.7367,946.0839,1067.1512,1068.4582,0.3125,0.3148,0.3137,NaN,NaN,NaN,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
