serial,date,test_NO,test_voltage,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_PI,test_voltage2,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_PI,test_voltage3,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_PI,comment,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,ambient_temp,oil_temp,winding_temp,humidity,coregnd,framegnd,coreframe
5000576,2023-10-25 00:00:00,,2500,3210,3790,4110,4330,4490,4610,4720,4800,4880,4950,1.5421,2500,1,,,,,,,,,1193,1193.0000,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,34,34,34,63,1000,1000,1000
5000577,2023-10-23 00:00:00,,2500,3080,4490,4940,5190,5360,5520,5650,5750,5860,5920,1.9221,2500,1,,,,,,,,,1898,1898.0000,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,Megger / MIT515,101343131,2023-03-08,33,32,32,65,1000,1000,1000
9724075,2023-10-17 00:00:00,,5000,1225,-,-,-,-,-,-,-,-,2173,1.7739,5000,1538,-,-,-,-,-,-,-,-,2941,1.9122,,,,,,,,,,,,,,Mr. Prawit N.,,HITACHI,,,,0000-00-00,,,,,2170,4090,6020
4912023,2023-10-13 00:00:00,,2500,1125,1351,1485,1585,1662,1730,1787,1887,1897,1925,1.7111,2500,1230,1685,1980,2200,2380,2530,2650,2760,2860,2940,2.3902,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,Megger / MIT515,101343131,2023-03-21,32,40,38,66,1203,1079,815
6512363,2023-10-10 00:00:00,,2500,134028,,,,,,,,,186300,1.3900,,124324,,,,,,,,,230000,1.8500,,,,,,,,,,,,,SAT,Mr. PANOM,,TIRATHAI,,MEGGER MIT 515,323-024-BO/2-02,0000-00-00,32.9,40.34,40.34,65.6,89000,75600,13290
4902687,2023-10-09 00:00:00,,-,5640,-,-,-,-,-,-,-,-,10980,1.9468,-,4557,-,-,-,-,-,-,-,-,10710,2.3502,-,-,,,,,,,,,-,-,,Mr.Prawit N.,Mr.Aekkarat M.,Hitachi Energy,GPSC,,,0000-00-00,,,,,1000,1000,1000
4803167,2023-10-08 00:00:00,,-,10570,-,-,-,-,-,-,-,-,11610,1.0984,-,1,,,,,,,,,1.25,1.2500,-,-,,,,,,,,,-,-,,Mr.Prawit N.,Mr.Aekkarat M.,Hitachi Energy,GPSC,,,0000-00-00,,,,,1000,1000,1000
4912022,2023-10-06 00:00:00,,2500,1040,1279,1423,1534,1625,1700,1772,1840,1885,1926,1.8519,2500,1240,1742,2040,2250,2400,2530,2640,2730,2810,2880,2.3226,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,31,32,32,68,1426,1039,768
5000574,2023-10-05 00:00:00,,2500,3200,3690,3940,4110,4220,4320,4400,4470,4520,4580,1.4312,2500,1,-,-,-,-,-,-,-,-,1426,1426.0000,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,35,34,34,63,1000,1000,1000
5000575,2023-10-05 00:00:00,,2500,3970,4700,5080,5300,5500,5640,5720,5810,5890,5920,1.4912,2500,1,-,-,-,-,-,-,-,-,2390,2390.0000,-,-,,,,,,,,,-,-,,Mr.Tanasak K.,Mr.Tanapat In.,TIS,GPSC,TESTRANO 600,GA635A,2023-03-09,37,35,34,56,1000,1000,1000
