SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
9724075,6/2/2019,200,-,14.42,-,-,-,-,-,-,14.89,-,-,-,-,20.35,-,-,-,-,0.03,-,-,-,-,0.03,-,-,-,-,0.01,-,-,-,200,101.594,48.534,118.094,-,-,-,-,-,-,-,-,-,-,191028248,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2/16/2018,34,40,40,58,,0.03
9724075,10/17/2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,147.671,115.473,155.606,,,,,,,,,,,,Mr. Prawit N.,,HITACHI,,,,,33,33,33,50,,
9724076,6/11/2019,200,-,39.94,-,-,-,-,-,-,41.42,-,-,-,-,58.1,-,-,-,-,0.01,-,-,-,-,0.01,-,-,-,-,0,-,-,-,200,102.923,44.546,116.708,-,-,-,-,-,-,-,-,-,-,191030991,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2/16/2019,30,30,30,70,,0.01
EDP008001,6/21/2018,200,1.277,1.599,2.0733,-,-,-,-,0.813,1.018,1.323,-,-,1.314,1.637,2.1291,-,-,0.55,0.06,0.01,-,-,0,0.2,0,-,-,0.08,0.06,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181071638,MR.Jirasak Suksakun,,CMT-GLOW,,TESTRANO 600,DA193X,2/16/2018,30,38,38,65,,0.55
EDP008001,3/14/2019,200,2.08,2.58,3.26,,-,,-,1.62,1.95,2.296,-,-,2.53,3.03,4.02,-,-,0.14,0,0,-,-,0.12,0.05,0,-,-,0.08,0.07,0.05,-,-,200,38.877,25.514,27.535,,,,,-,-,-,-,-,-,191013282,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2/16/2018,33,35,35,65,,0.14
EDP008001,3/14/2019,200,2.083,2.58,3.26,,-,,-,1.622,1.949,2.296,-,-,2.528,3.028,4.022,-,-,0,0,0,-,-,0,0,0,-,-,0,0,0,-,-,200,38.877,25.514,27.535,-,-,-,-,-,-,-,-,-,-,191013282,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2/16/2018,33,35,35,65,,0
EDP008001,5/9/2025,10000,45.928,59.281,79.439,,-,,-,29.61,40.042,54.61,-,-,47.428,60.877,81.162,-,-,2.06,0.48,0.56,-,-,2.1,0.11,1.13,-,-,0.91,1.46,0.2,-,-,,-,-,-,,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TRESTRANO 600,DA193X,,,,,,,2.1
EDP011601,3/13/2019,200,2.27,2.95,3.9,,,,,1.76,1.84,2.47,,,2.94,3.62,4.45,,,0.04,0.24,0.05,,,0.34,0.22,0.04,,,0.31,0.28,0.7,,,200,45.645,27.857,31.48,,,,,,,,,,,191013291,Mr. Jirasak S.,,GLOW-CMT,GLOW,TESTRANO 600,DA193X,2/16/2019,32,33,33,45,,0.7
EDP011601,8/2/2021,10,44.795,57.983,78.018,,,,,28.366,38.254,52.0118,,,43.985,56.99,76.924,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,211028715,Mr. Jirasak S.,,GPSC,,TESTRANO 600,DA 193X,2/18/2021,31,35,35,67,,0
EDP011601,8/2/2021,10,44.795,57.983,78.018,,,,,28.366,38.254,52.061,,,43.985,56.99,76.924,,,0,0,0,,,0,0,0.09,,,0,0,0,,,,,,,,,,,,,,,,,211028715,Mr. Methee Meechitti,,GPSC,,TESTRANO 600,DA 193X,2/16/2018,31,38,38,67,,0.09
